Company,ReviewID,Rating,Review_Text
Particle Measuring Systems,1eptlle8ru35m800,4.0,Work is monotonous. Pay is above minimum wage. Not a ton of room for advancement and the pay increase is nothing to write home about. Covid times have made this worse. Overall a good company to work for regardless.
Particle Measuring Systems,1e3tgjoi8o21v803,3.0,"I loved my job and the people I worked with, but I was completely overwhelmed with my workload when my supervisor didn't follow through on hiring a new colleague after firing someone. I did not feel that my manager had my back, nor would he/she stick up for me when someone threw me under the bus, which is what happened. First time in my 25+ years that I have been fired."
Particle Measuring Systems,1duieqnfhhdnf801,3.0,Lots of quality people but it lacks quality senior management leadership. They say the words but do not follow up with their action. Ok place to work but not a place to grow
Particle Measuring Systems,1dorqkbr9h3hi803,5.0,"Great place to work, the travel can get a little exhausting sometimes. Other than that it has great opportunity and has been a major learning experience."
Particle Measuring Systems,1djnb1mte5n9i801,5.0,it went very well.  The company is in the Boulder County and next to the foothill.  It is in a very good town.  The traffic there is a lot better than Denver
Particle Measuring Systems,1dd7b6fgih438800,3.0,"The leadership is now obsessed with growing at a pace to prevent the parent company Spectris from selling it off.  As a result, leadership has lost focus on the customer and employees, and is only focused on short-term gains to make their bottom line look better."
Particle Measuring Systems,1cncmcuhgakgrfot,5.0,PMS was a good place to work. I learned a lot there. They taught me how to set-up a CNC Hardinge Lathe and how to fix and make programs to make aircraft parts.
Particle Measuring Systems,1cf5ph4kqakh2a4s,5.0,This company employs many with longevity.  It is a company that values its employees and offers many benefits.  Personal expression is welcomed and an intelligent atmosphere is provided.
Particle Measuring Systems,1cag924auak91bq1,3.0,The manager I have is the worst I have ever had. They had never been a manager before and has no clue how to be one. I think there should be some kind of training
Particle Measuring Systems,1bm19lb6qak4nao8,2.0,"Customers have no idea who they are. The name is ridiculous. Customer Service is a joke, I couldn't wait to leave. The factory is split politically, its embarrassing."
Particle Measuring Systems,1bg7j1384akgvf5t,5.0,A good overall place to work. Excellent work/life balance with a management team that is overall caring.
Particle Measuring Systems,1am87bcq2ak7nc7c,1.0,"Interesting for sure. The director asked me in my interview about my husband. What does that have to do with my skills and abilities? Is a smaller company and they pride themselves on being ""healthy"". Maybe shouldn't be over forty and overweight or may not get hired."
Particle Measuring Systems,1a34qoa2cb82aav9,4.0,My previous employer had good solid growth to further expand
Particle Measuring Systems,19bj6lgjeak4gdev,5.0,Co-Workers and Management Staff helpful and knowledgeable.
Particle Measuring Systems,194nof5q6b80g994,4.0,Learned ISO requirements and what an ISO company culture looked like. Management was well structured. Co-workers worked well with each other.
Particle Measuring Systems,176tqrdb45dsg9n8,5.0,Amazing technology to work with - laser-optics. I learned how to work closely with research and development engineers and the design process. Documented design and instructional information.
Excelitas Technologies,1dum1l7rvo2ak801,3.0,"Adequate company. Management is challenging at times.  And the work is unique and exciting, Requires attention to detail. ............................."
Excelitas Technologies,1f76p954js7es800,5.0,Lots of legacy equipment and processes made for a great learning and challenging experience. Lack of new products was/is detrimental to survival. Purchasing could be a challenge.
Excelitas Technologies,1f0b6b5fat4q1800,2.0,"IF you have experience in the industry it’s a great place to work.No forced overtime,advancement etc. but some jobs workers are treated like dirt.My job had no advancement (according to HR) but in some ways a lot of responsibility and STRESS.Was there 4 years and it kept getting worse.In summary management did NOT support my job (only one  of its kind in the factory) too the point you could not believe it’s the same company."
Excelitas Technologies,1eguo2k9c3cfd000,1.0,This is an good ole boys brotherhood of Delphi management. If you need a paycheck wonderful place buy zero advancement unless management sees you as someone who will push their agenda
Excelitas Technologies,1ec57afgqrmpt800,5.0,I truly love my job. This is the type of job I've been looking for my entire professional career. This is the first place I have worked where I feel like I will retire from.
Excelitas Technologies,1e7b3lund4su2800,5.0,"Good place to work, management is supportive, employees are cooperative and helpful. You can apply and move to other departments , if you qualify you will be trained in new department"
Excelitas Technologies,1e30c8um0q5bm802,5.0,Good employer. Many years of work and experience. Company got lay offs. After 25 years had no choice but to relocate to east of the united states. Highly recommend company for those living on east coast
Excelitas Technologies,1e1ded9n4olq3804,4.0,Great place to work for.  Good benefits. Good company to work for with lots of on the job training and advancement opportunities.
Excelitas Technologies,1dsh4h79vq3ma803,4.0,Really interesting and challenging work. Very inclusive leadership team. Lots of opportunities to grow. My only issue at Excelitas is that the racial inclusivity could use some work.
Excelitas Technologies,1dm6f1jq8h3sq800,4.0,Great place to work for. Everyone was nice and had a good time being there. A lot of overtime. Good benefits. Fast going and plenty to do. Never a slow day.
Excelitas Technologies,1dkubedl324e100c,2.0,Good company to work for very interesting things to learn there also good things to learn from engineering their of making optics for laser and planes for military use
Excelitas Technologies,1dkdlsbu9h3hs804,2.0,"Excelitas has a lot of potential to be a great company to work for.  But, there are too many senior leaders that are more concerned with getting new business and climbing the ladder instead of focusing on their employees and the business that they currently have.  Continuous improvement is frowned upon, constructive or destructive criticism is nonexistent and the leadership team never leads by example.  The expectation is always bottom up and never top down."
Excelitas Technologies,1di00ql6fh3qc800,5.0,Lots of on the job training and advancement opportunities.
Excelitas Technologies,1dhijoid7b82k802,1.0,The management doesn't even bother to take serious about what the employees feedback to them. Doesn't appreciate what we done for so many years. Treat employee with no respect.
Excelitas Technologies,1dfr7qjsr24g1000,1.0,"Understaffed, poor leadership and management , untrustworthy, lack of team work. Made days stressful, and often went unappreciated after long hours meeting deadline's."
Excelitas Technologies,1d86jusq41ahv000,1.0,"I was consistently told by my manager that I was at the top of my pay grade and there were no promotions available after shattering expectations year after year and being the consensus best at my position. I was finally told that a raise/promotion would be available earlier this year and after six months of waiting I was then told again that no raises or promotions were possible. I put in my notice shortly after only to be told in my exit interview that I was ~$10,000 below the median salary for my position and nowhere near the top of my pay grade."
Excelitas Technologies,1d66v1dgg5nci800,4.0,Great place to work.  highly advanced work environment.  good managers.  good benefits and wages were ok but Boulder is a very expensive place to live
Excelitas Technologies,1d4ns29il0mt2000,1.0,Not Happy with this work place they just hire people temp and get rid of them when the job is done. Management promised being hired at 6 months and i was working for 9 months with out hire benefits or anything including holiday pay etc.
Excelitas Technologies,1d2ienobc1ai7000,5.0,"Very friendly place, peoples are nice , job required many different skills . Building new products was challenging but very interesting and it was a lot of fun and satisfaction."
Excelitas Technologies,1d2b1ka6lakdg800,4.0,"Great job security, benefits, and culture. Positive place to work. Many different shifts to choose from per your life style. I work Wed thru Saturday 10 hour days. But they have many different shifts to choose from."
Excelitas Technologies,1d1s700ceaqh6800,4.0,Challenging work and deadlines in a rapidly changing field.
Excelitas Technologies,1dum1l7rvo2ak801,3.0,"Adequate company. Management is challenging at times.  And the work is unique and exciting, Requires attention to detail. ............................."
Excelitas Technologies,1csc1dcnfbrff800,5.0,A very good place to work good people everything was fine the company just decided to relocate The business to Denver Colorado and Singapore I had hoped to retire here unfortunately it is the nature of the business profit over people
Excelitas Technologies,1crd4940haki4800,5.0,"Very Good place to work, I'm just looking for a change of city and work around where I move to. I have been here for a while my experience with excelitas has been great."
Excelitas Technologies,1cpa84epbakhe800,5.0,Their very considerate and understanding. They really care about their employees. They involved you in meetings. Your opinion mattered. I would recommended friends to Excelitas. Its a great place to work for.
Excelitas Technologies,1clmn3e5452t0ag7,4.0,"but what is good for me may not be good for you, that is why I Decline to fill in this area people need to make their own decisions on liking  this company"
Excelitas Technologies,1ch13f3gf1aie2ui,1.0,"Always looking for work, when asking supervisor for work, never gets back to you. Makes for very long days. The way things change so fast you can never keep up."
Excelitas Technologies,1cbe2lodmb80sdqd,3.0,"Great group of people to work with, not a stable company."
Excelitas Technologies,1c7d769s3b87k9m5,4.0,Excelitas was a great place to work
Excelitas Technologies,1c4fr0lj2brdics0,4.0,"I learned a lot while working at Excelitas. I feel the managers should have been more in touch with their employees. It was an ok place to work. Good benefits, and PTO. Sometimes work was a little hectic, but it wasn't too stressful."
Excelitas Technologies,1b7gqlqv0brdbf82,4.0,trabajar con presion la mayoria del tiempo en especial con los clientes ya que la calidad de los servicios y el producto es de primer nivel y el producto el cliente lo exige casi de manera inmediata.
Excelitas Technologies,1b65kr654b85abgl,5.0,"Wide range of photonic products to meet variety of applications for medical, industrial, consumer, and defense customers.  Application and product management team is very supportive."
Excelitas Technologies,1b5sne5100mts7p4,5.0,"love the manegement, make the workers feel good about there job, we assemble power supply and other components, need to no how to solder wire, you will be doing lots of electrical mechanical assembly"
Excelitas Technologies,1b30c725c1fvi053,1.0,"Very difficult place to work. I put forward my best effort, and only received negative responses from my superiors. The workplace, due to the products we made was frequently 90° in the summer, and was not sufficiently heated in the winter."
Excelitas Technologies,19lkppum85ne8ctu,4.0,Everyone is nice and friendly. They seem to work as a team. Great place to be exposed to domestic and international tax.
Excelitas Technologies,19hrgp6p5ak4g9oa,5.0,I learned and grew with the company each day. Advanced my career with 3 position moves to various departments. Helped out anybody who needed it. Great place to work.
Excelitas Technologies,19d5r9j9vb80g9t4,1.0,"No advancement, most employees are temps. Management only cares about production output and constant cutbacks. Management shows favoritism towards their own ethnicities."
Excelitas Technologies,18geugjjgb84gaho,3.0,"My typical day was conducting HR support for the site, working close with Exempt and Non-Exempt employees. Through my many years with the company, and prior to the change of management,  I was able to advance my knowledge in several areas."
Excelitas Technologies,182h89bmvb80gakk,5.0,"Was excellent, I was a contract employee for five months."
Excelitas Technologies,17qfejurd5ncgefo,4.0,Busy workplace with good people. Job responsibilities require one to wear multiple hats and multi-task.
Excelitas Technologies,17h4tn91a5dogd45,3.0,Hit the floor running and staed busy all day.
Excelitas Technologies,17glbjec25dogcbo,3.0,Very interesting work always busy. I enjoyed working at Excelitas lots of very nice people.
Boulder Medical Center,1f1pv00ucu40q800,3.0,"The lack of unity and clear vision keeps this organization stagnant. Co workers were wonderful! Flexible to accommodate, if you have a day time appt. Management, while they were supportive in certain situations,  lacked employee relations and conflict resolution skills.  Often felt reprimanded for speaking up to assist with changes or offer solutions. Pay range is on the lower end.  Otherwise, if you need short term place to work, and you can tolerate the cons, go for it."
Boulder Medical Center,1f5vqnhruu1bc800,3.0,Staff were great. Hungry for updates and communication. Oppressive surroundings. Needs remodeling.
Boulder Medical Center,1f0ve5du9n54g800,2.0,"This is a horrible place to work and the culture is extremely toxic.  It is not condusive to learning whatsoever.  I suggest that if you are interested in getting into the medical field, don't work here."
Boulder Medical Center,1esiftivku3cn800,5.0,"Collaborative culture and open to hearing the opinions of all the staff.  There was some turnover in the departments.  Mostly, everyone at BMC was kind and hardworking and willing to work with others."
Boulder Medical Center,1ef52jpe9pbqj800,5.0,A typical day would consist of the receptionist assisting the physicians of their department.
Boulder Medical Center,1e3vttvstotqs802,2.0,"The CEO constantly refers to the company as a 'family' but when it comes down to it, it isn't one. If it weren't for a few individuals and the need for a paycheck, I would have left sooner. Horrible pay. Most of management is not qualified to be a leader, let alone a manager... especially the Director of HR. Who knew memorizing a few HR laws got you a director level. HR is not a resource that employees look for due to"
Boulder Medical Center,1e1ujak0c25aa003,1.0,"I accepted the “psych NP” position... was told by CEO I’d have an assistant and flexible hours. Bold lies. They stuck me in a supply closet, patients would call it “the dungeon”, barely had room for a desk let alone a computer. You either interact with a pt or no one. No help. If you like seeing patients 8-5 then returning calls and doing prior auths from 5:30 -8 or 9 pm without administrative appreciation then by all means take this job. Biggest regret of my life."
Boulder Medical Center,1dqukunorh3io803,1.0,"BMC does not appreciate their employees, they do not like current employees to move up in the organization.  The CEO just wants his staff to do more for less, cutting corners where you shouldn't.  Do not appreciate staff with experience because then you would need to pay them more.  There have been some questioning hiring practices, and they do not fill positions with qualified employees."
Boulder Medical Center,1dokafvc9h3ph802,3.0,thing that makes it a little difficult.  The pay is not great and there is not much room for advancement.   It also seems that consistency between managers needs some help.
Boulder Medical Center,1dl8qatno24gt000,5.0,"I loved working with most of the people at the Med Center. I started out in records then move up to Medical Assistant. Most of the Dr's, co-workers etc are great people to work with. It's a company you can stay at for years."
Boulder Medical Center,1dj4gesoth3v0802,1.0,Employees with licenses are replaced by non licensed staff to save money.
Boulder Medical Center,1dgf9rfi424fe000,5.0,I enjoyed working at BMC especially the people I worked with. It is a smaller practice compared to a larger corporate environment so there was more cohesiveness amongst the staff as a whole.
Boulder Medical Center,1cj9bf9njak97a9m,5.0,"Newly hired for a phone triage position. Phone RN for a busy 6 physician Family Practice. Assess patient concerns during phone interactions, triage emergencies."
Boulder Medical Center,1cgab81a2akcif5r,3.0,"I love the people at Boulder Medical Center, but the management is very disorganized. There are exceptions to every policy and things change and employees aren't notified. The pay is not great especially for Boulder. The employees here are amazing and very patient oriented."
Boulder Medical Center,1cdg2dpcu1aid489,4.0,"In the time I was working at BMC, I saw 2 amazing business office coordinates do their best to make the front end work. They worked with my schooled when I went back to school, and with my time when I needed to kids to certain appointments. However, with time change, comes change in management. New manager comes, I felt like she hated me from the get go, since I started and because I was all ""natural"" I would never fit in her ""click.""  I wasn't planning on leaving, but she had other plans. So I decided to move on and leave before she had the chance of firing me."
Boulder Medical Center,1cbvmdks4akgneap,2.0,There was no training program for new employees that needed to learn the software and then turn around and train it. There was no opportunity to be taught by an expert on how the program worked. There was a false sense of accomplishment given by direct management only to be blindsided when upper management was present. They will always flounder in their small time culture and it is sad for all the dedicated people that take so much pride in taking care of patients there.
Boulder Medical Center,1c74a2cbpakf29ud,1.0,No one cares about you just a body. I would never recommend this place. I quit because management treated you like a number. I didn’t see my manager once while working there. Every one seemed stressed and was just trying to pay their bills.
Boulder Medical Center,1c6rh4qkvak7aao2,4.0,"RN wages significantly lower than the state average when I worked there. High turn over of MD staff. The company has three different locations, Boulder, Lousiville, and Foothills."
Boulder Medical Center,1bvbmssqtakgod8o,1.0,"While the company was very open to a new model of care in the beginning, they did not at all support me in this new role. The staff was very nice but management deceiving  and cut-throat and only money oriented, not the patients and clients."
Boulder Medical Center,1bn19t7nsb88u8oe,5.0,"Boulder Medical Center is a large company but it has a small company feel which makes it a great place to work! It is such a great place to work that there are employees who have been with BMC for decades. Because we are an out-patient clinic, there is a work-life balance that you can't find at hospitals - no weekends and no night shifts! You work hard while at BMC but have the time off that you need to rejuvenate outside of work with up to three weeks of PTO earned in your first year. Most of all, its the people at BMC that make it a great place to work. You can see how much they enjoy working with each other and our patients every day!"
Boulder Medical Center,1bmijvk3db80uafm,5.0,"I've worked at Boulder Medical Center for 8 months. I was told on my first day that ""you landed in a good place"" and I am happy to report that this is true! My job is fast-paced, which I really like (never a dull moment). Everyone I've met, including my supervisor, is very supportive, accepting of my ideas, and is interested in helping me grow in my position."
