Company,ReviewID,Rating,Review_Text
King Soopers,1elgoaakcu2j4800,4.0,"I had very good relationship with managers, they were responsive, accommodating, and supportive. The over all environment was not the best, but it was a great temporary job."
King Soopers,1f7pupln4u28m800,2.0,"Working in the front end can be pretty hectic, we are usally always unstaffed and the headclerks that run the front end are good but the upper management in this store is poor and they dont care about any of the employees they hire."
King Soopers,1f7elgri4u26j800,4.0,There is a clear separation between part time and full time workers. Which can be either a good thing or a bad thing depending on how you look at it. My only piece of advice is to strongly voice your opinion to HR or management otherwise they will not notice you or respect you.
King Soopers,1f7cfqkjju2ud800,4.0,"For people looking for a basic summer job. This is great. If you want a career, there are opportunities. You start at minimum wage. But you get regular pay increases. Full benefits are available. There are a lot of long term dedicated employees who have superiority complexes. Management is a little too micromanaging. The stores are always understaffed so you’re constantly bouncing around departments."
King Soopers,1f78o1mbhu2ud800,1.0,"I wouldn't recommend them to my worst enemy. The upper management sit upstairs all day as they cut everyone's hours and demand no over time, yet your in charge of doing 3 peoples jobs. If you don't get that much work done, they wrote you up because couldn't finish all the work."
King Soopers,1f724tqmahijp800,1.0,Want to work multiple jobs for terrible wages? Do you want a job where there are no opportunities to advance? Do you like your coworkers talking about you behind your back? Do you like the underside of your bosses boots? Are you a masochist? Work at King Soopers.
King Soopers,1f71c0sua3obs000,2.0,"It's a corporation, it will chew you up and spit you out. It was ok until I got promoted to full time. I was forced to give up almost all off days and even then it was never enough. Worked sick, exhausted and stressed out and not one person in upper management gave a care, they just expected more."
King Soopers,1f6qhnj6h3obs000,2.0,"I was training to become a manager and went above and beyond for 2 years when a new front end supervisor transferred to my store and brought an entire new front end management staff. Instead of getting the promotion I was promised, the new manager gave my position away to a friend of theirs that had transferred to our store. This person was promoted with no formal training or effort. I had undergone countless hours of training and even had to travel to other cities to take management classes, but I was pushed aside and given no explanation. If you aren't friends with the managers, you will not advance."
King Soopers,1f6o4u2p7hijp800,2.0,"Not necessarily a hard job, or a bad place to work. Management is fine generally, but of course your manager is just the first in a endless bureaucratic chain, so getting real ideas for change to people that can implement it is difficult. Like any retail job the simultaneously best and worst part is the customers. And since its a grocery store a very wide net of people gets cast. This job definitely has made me appreciate jobs I have had at more mom and pop type companies because there is just a better cohesion and focus of quality work culture."
King Soopers,1f6fqhc7r3ocs000,3.0,"King Soopers is a work focused environment at all times. They will start you off on your main job but will ask you to learn other departments. Covering another department became a typical thing. Not everyday, but often enough. The very top management were great and understanding, while the more day to day management were strict and callous. The hardest part of the job was working both a night shift and a day shift in a row. Happened a few times which got me physically ill at one point. What was enjoyable about the job was how clear what you needed to do. The simplification of what needs to be done was the only enjoyable part of it."
King Soopers,1f5tnneiuu3af800,2.0,"I recently turned in my notice after working only 1 week. I sensed the ""who cares about you and your life"" attitude straight away. I was mislead during my interview process, so I quit. I am 46 yo and past the point of his school fuckery. I would not recommend working for this company unless you enjoy being exploited. You will soon fall into the culture of ""well, since my employer doesn't care for my wellbeing,  I don't care either"". It's an extremely disconcerting situation. The kicker is, I really enjoyed my actual job, the ""real"" position I agreed to upon hiring. In short, don't waste your time."
King Soopers,1f5tboo9hu4lu800,1.0,Depending on your store management sucks. They don't care about you or your life. Call you in everyday you have off. Pay is little to nothing for what you have to do. Lowest paying grocery store as well.
King Soopers,1f5rvrlipsaai800,3.0,Good pay once you top out.
King Soopers,1f5lpu2tvu4lu800,3.0,"I worked in several departments at King Soopers, e-commerce, front end, and floral."
King Soopers,1f5jnb69mu2n1800,4.0,Good job that has a good environment to work in. The coworkers are great and make it a family atmosphere. The pay was good and so were the benefits. Overall nice place to work.
King Soopers,1f5j3e8ddu3af800,3.0,Customers are ungrateful. It doesn’t matter what you do it’s never enough. It’s frustrating. The beat part of working there is the friends you meet on the job.
King Soopers,1f59pu710u2n1800,1.0,"Very physical during the summer. Management does not cater to flexible schedules (i.e. if you have a commitment every week like church, they will not help you to make your schedule not conflict with that). Poor training."
King Soopers,1f59hqof8u3af800,2.0,Negative work environment the older people don’t want younger people to be in management because they don’t want younger people telling them what to do. Management does not care or want to help you with anything. And if you get promoted you are thrown to the wolves and will not get the help you seek. The old people go against the younger generation and the younger generation isn’t paid enough to work harder then the older generation. Bad company
King Soopers,1f56f9t93saai800,2.0,"Management was awful. was unfairly demoted. Was lied to about accommodations and told ""oh well"". This place is only worth it if you can stick it out for 10 plus years."
King Soopers,1f568dnv6u2n1800,1.0,"You wanna be treated terribly on the daily?Then boy I have the place for you! Not only will customers walk all over you, but management treats you like youre dumb, even though you most likely know the job better than they do! And you're supposed to take it! We are constantly overworked, understaffed, and underpaid. This company just keeps getting worse and worse in the years I've wasted here and they keep adding more for you to do while slashing hours every where they can, making it impossible to finish your job. Then they yell at you for not being good enough. This place can barely call itself a job, maybe a good place holder while you look for a new job. Please. Don't work here."
King Soopers,1f51g7cicu3af800,3.0,"Continually cutting tech hours despite large workload and always asking staff to do more.  This is pretty typical of retail pharmacy though.  Pay and benefits are great, especially for managers."
King Soopers,1elgoaakcu2j4800,4.0,"I had very good relationship with managers, they were responsive, accommodating, and supportive. The over all environment was not the best, but it was a great temporary job."
King Soopers,1f4j1kvv2u392800,4.0,Decent company and can place you in various roles is your current doesn't suite you. Great place for college or younger age students to work because of flexibility.
King Soopers,1f4f4o3c1u39f800,1.0,The pay is the only thing keeping me here...
King Soopers,1f3s80c7ou1vt800,2.0,I’ve worked at 2 different stores. First one felt close knit and fun. Second one felt hollow and soulless.
King Soopers,1f3jm3868u3dj800,4.0,King soopers is a good place to work at in all honesty. Not too difficult as long as you're okay with social situations because you do need to talk to a lot of people. Your work will be what you make it. As long as you keep your head on right you'll be fine. The pay could be better and management does their best.
King Soopers,1f3ik5nn3u3dj800,2.0,Never worked in such a negative and hostile environment before. Management honestly does not care about employees. Associates are constantly threatened with transfer/termination for simply not being able to work overtime. People are told that their responsibilities as a parent are not a valid excuse to leave when scheduled to get off.
King Soopers,1f35cv5ib3ki8000,3.0,Amazing.....great company. Good reputation.......pay can be better. Over all it's pretty incredible... So far.....fingers crossed ..... Good times!!!!!-
King Soopers,1f2pdsia6u1v3800,4.0,"I love the location,  and the work I do here.  However the expectation aren't within reach of any individual that is having health issues or simply aging. They have unreasonable expectations of their night crew and not enough for their day crew.  While I struggle to make cases per hour at 45yrs old the recieving crew and department managers smoke out front or in the back of the building every 20-30 minutes.  They also play favorites within departments and promote the person who talks and not the person working their butt off. This company has absolutely no loyalty values...."
King Soopers,1f2a2lie9him2800,3.0,It is fast paced and can be challenging in some areas. Overall being able to great customers is the best part. I am able to make sure the customer gets what is asked and make sure they’re satisfied.
King Soopers,1f21s4njdu1v3800,2.0,"If you are an hourly employee, they want to incur no overtime, which makes sense but also makes it difficult to make a living."
King Soopers,1f1v8ta89u3hv800,2.0,It’s a minimum wage job so you’re worked like a dog for little pay. Not allowed to accept any sort of tip for walking out groceries or anything like that. The parties are nice but it’s rare.
King Soopers,1f1lfu0r9u3hv800,1.0,"Truth be told it varies between and among different stores, my home store was fine, i got along with my crew and managers, but at my current store the management in my department needs some serious work. The store in and of itself needs work."
King Soopers,1f1ipq7niu40q800,3.0,"Easy job to learn and do, like most entry level positions. The job gets repetitive pretty quickly though because you're just going around picking up groceries for people for the majority of your shift. Most of the coworkers are easy to get along with, but they are also mostly just kids or new hires."
King Soopers,1f1ikfn3ou3hv800,3.0,Great company if you're looking to rise fast. They reward intelligence and obedience.
King Soopers,1f0h5tb7un54g800,1.0,This place is a joke and the union isn't much better. The culture is toxic and promotes a cult like atmosphere of fear and control. There are much better places to invest your time and energy.
King Soopers,1evtnlib7u1sg800,5.0,Was a great job. Job stability. Room for advancement. Highly stressful most times but doable. Will move you to other stores without your permission.....
